	Rope coordinates on image plane 
	x	y 
-0.140952	-0.15619
-0.152381	-0.154286
-0.150476	-0.154286
-0.148571	-0.154286
-0.146667	-0.154286
-0.144762	-0.154286
-0.142857	-0.154286
-0.140952	-0.154286
-0.152381	-0.152381
-0.150476	-0.152381
-0.148571	-0.152381
-0.146667	-0.152381
-0.144762	-0.152381
-0.142857	-0.152381
-0.140952	-0.152381
-0.150476	-0.150476
-0.148571	-0.150476
-0.146667	-0.150476
-0.144762	-0.150476
-0.142857	-0.150476
-0.150476	-0.148571
-0.146667	-0.148571
-0.154286	-0.146667
-0.152381	-0.146667
-0.150476	-0.146667
-0.148571	-0.146667
-0.146667	-0.146667
-0.15619	-0.144762
-0.154286	-0.144762
-0.152381	-0.144762
-0.150476	-0.144762
-0.148571	-0.144762
-0.146667	-0.144762
-0.144762	-0.144762
-0.15619	-0.142857
-0.154286	-0.142857
-0.152381	-0.142857
-0.150476	-0.142857
-0.148571	-0.142857
-0.146667	-0.142857
-0.144762	-0.142857
-0.15619	-0.140952
-0.154286	-0.140952
-0.152381	-0.140952
-0.150476	-0.140952
-0.148571	-0.140952
-0.146667	-0.140952
-0.144762	-0.140952
-0.15619	-0.144762
-0.154286	-0.144762
-0.152381	-0.144762
-0.150476	-0.144762
-0.148571	-0.144762
-0.146667	-0.144762
-0.144762	-0.144762
-0.15619	-0.142857
